"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
participant_id_c1,case_identification,,text,"Participant Id",,,,,,,,y,,,,,
case_identification_c2,case_identification,,descriptive,"<div style=""font-size: 12pt""><u>Case Identification</u></div>",,,,,,,,,,,,,
consent_date1_c3,case_identification,,text,"Consent Date-1",,,,,,,,,,,,,
book_number1_c4,case_identification,,text,"Book Number1",,,,,,,,,,,,,
consent_date2_c5,case_identification,,text,"Consent Date-2",,,,,,,,,,,,,
book_number2_c6,case_identification,,text,"Book Number2",,,,,,,,,,,,,
consent_date3_c7,case_identification,,text,"Consent Date-3",,,,,,,,,,,,,
book_number3_c8,case_identification,,text,"Book Number3",,,,,,,,,,,,,
what_is_your_birth_date_c9,case_identification,,text,"What is your birth date?",,,,,,,,,,,,,
full_name_of_primary_care_physician_c10,case_identification,,text,"Full Name of Primary Care Physician",,,,,,,,,,,,,
surgeon_name_c11,case_identification,,text,"Surgeon Name",,,,,,,,,,,,,
gi_name_c12,case_identification,,text,"GI Name",,,,,,,,,,,,,
consent_status_r13,research_consent_elements,,descriptive,"<div style=""font-size: 12pt""><u>Consent Status</u></div>",,,,,,,,,,,,,
consent_date_range_r14,research_consent_elements,,radio,"Consent Date (Range)","2144, 2014 | 2141, 2013 | 2115, 2012 | 2114, 2011 | 2078, 2010 | 2079, 2009 | 2080, 2008 | 2081, 2007 | 2082, 2006 | 2083, 2005 | 2084, 2004 | 2085, 2003 | 2086, 2002 | 2087, 2001 | 2088, 2000",,,,,,,,RH,,,,
base_demographics_d15,demographics_and_history,,descriptive,"<div style=""font-size: 12pt""><u>Base Demographics</u></div>",,,,,,,,,,,,,
how_old_are_you_d16,demographics_and_history,,text,"How old are You?",,,,,,,,y,,,,,
what_is_your_gender_d17,demographics_and_history,,radio,"What is your gender?","77, Male | 78, Female",,,,,,,,RH,,,,
height_inches_d18,demographics_and_history,,text,"Height (inches)",,,,,,,,,,,,,
weight_lbs_d19,demographics_and_history,,text,"Weight (lbs)",,,,,,,,,,,,,
your_ethnicity_d20,demographics_and_history,,radio,"Your Ethnicity","2147, Hispanic or Latino | 2148, Not Hispanic or Latino | 2149, Unknown (individuals not reporting ethnicity)",,,,,,,,LH,,,,
your_ethnic_identity_or_race_check_all_that_may_apply_d21,demographics_and_history,,checkbox,"Your ethnic identity or race (check all that may apply)","85, Caucasian | 75, Asian/Pacific Islander | 86, African American | 87, Hispanic | 88, American Indian / Alaskan Native | 89, Others",,,,,,,,LH,,,,
other_please_specify_d22,demographics_and_history,,text,"Other, Please specify",,,,,,,,,,,,,
what_is_the_highest_level_of_education_level_you_have_completed_d23,demographics_and_history,,radio,"What is the highest level of education Level you have completed?","10, Grade School or junior high | 11, Some high School | 12, High school graduate | 13, Post high school training other than College | 14, Some College | 16, College graduate | 17, Post graduate degree",,,,,,,,,,,,
family_history_of_cancer_d24,demographics_and_history,,text,"Family History of cancer",,,,,,,,y,,,,,"First Degree Relative with 'Colon' or 'Rectum' cancer type(or location)."
you_bmi_d25,demographics_and_history,,text,"You BMI",,,,,,,,,,,,,
base_history_statistics_d26,demographics_and_history,,descriptive,"<div style=""font-size: 12pt""><u>Base History Statistics</u></div>",,,,,,,,,,,,,
have_you_ever_smoked_cigarettes_d27,demographics_and_history,,yesno,"Have you ever smoked cigarettes?",,,,,,,,,RH,,,,"Have you ever smoked cigarettes on a regular basis (at least one pack per week) for at least six months?"
are_you_currently_smoking_d28,demographics_and_history,,yesno,"Are you currently smoking?",,,,,,,,,RH,,,,
if_you_smoked_at_what_age_did_you_start_smoking_d29,demographics_and_history,,text,"If you smoked, at what age did you start smoking?",,,,,,,,,,,,,
if_you_quit_what_age_did_you_stop_smoking_d30,demographics_and_history,,text,"If you quit, what age did you stop smoking?",,,,,,,,,,,,,
medication_d31,demographics_and_history,,descriptive,"<div style=""font-size: 12pt""><u>Medication</u></div>",,,,,,,,,,,,,
aspirin_or_aspirin_containing_products_in_past_12_months_d32,demographics_and_history,,radio,"Aspirin or Aspirin containing products in past 12 months","284, None/infrequent | 280, 1-3 per month | 281, 1-2 times per week | 282, 3-7 times per week | 442, Once a day | 283, More than 7 times per week",,,,,,,,RH,,,,"In the past 12 months, how often did you take aspirin or asprin-containing products, such as Bayer, Bufferin, or Anacin? (Please"
for_how_many_years_did_you_take_aspirin_at_least_once_per_week_d33,demographics_and_history,,radio,"For how many years did you take Aspirin at least once per week?","136, None | 131, Less than 5 years | 132, Less than 10 years | 133, 10-15 years | 134, 16-20 years | 135, More than 20 years",,,,,,,,RH,,,,"For how many years did you take Aspirin at least once per week?"
what_dose_of_asprin_you_usally_take_d34,demographics_and_history,,radio,"What dose of Asprin you usally take?","1293, Baby or low dose aspirin (81 mg) | 1294, Baby or low dose aspirin (162 mg) | 1295, Regular aspirin (325 mg)",,,,,,,,RH,,,,
statins_cholestrols_medicines_past_12_months_d35,demographics_and_history,,radio,"Statins (Cholestrols medicines) past 12 months","289, None/infrequent | 285, 1-3 per month | 286, 1-2 times per week | 287, 3-7 times per week | 441, Once a day | 288, More than 7 times per week",,,,,,,,RH,,,,"In the past 12 months, how often did you take Statins (cholestrol medicines)? (Example: Mevacor, Zocor, Lescol, Prevachol, Crestor, Lipitor)"
for_how_many_years_did_you_take_statins_at_least_once_per_week_d36,demographics_and_history,,radio,"For how many years did you take Statins at least once per week?","137, None | 126, Less than 5 years | 127, Less than 10 years | 128, 10-15 years | 129, 16-20 years | 130, More than 20 years",,,,,,,,RH,,,,"For how many years did you take Statins at least once per week?"
how_often_did_you_take_nsaid_in_past_12_months_d37,demographics_and_history,,radio,"How often did you take NSAID in past 12 months?","296, None/infrequent | 292, 1-3 per month | 293, 1-2 times per week | 294, 3-7 times per week | 443, Once a day | 295, More than 7 times per week",,,,,,,,RH,,,,"In the past 12 months, how often did you take Non-steroidal anti inflammatory drugs that are ibuprofen-containing products such"
for_how_many_years_did_you_take_nsaid_at_least_once_per_week_d38,demographics_and_history,,radio,"For how many years did you take NSAID at least once per week?","124, None | 119, Less than 5 years | 120, Less than 10 years | 121, 10-15 years | 122, 16-20 years | 123, More than 20 years",,,,,,,,RH,,,,"For how many years was non-steroidal anti-inflammatory drugs taken at least once per week?"
cox2_inhibitors_in_past_12_months_d39,demographics_and_history,,radio,"Cox-2 inhibitors in past 12 months","291, None/infrequent | 112, 1-3 per month | 113, 1-2 times per week | 114, 3-7 times per week | 444, Once a day | 290, More than 7 times per week",,,,,,,,RH,,,,"In the past 12 months, how often did you take Cox-2 Inhibitors? (Example: Celebrex, Vioxx, Bextra)"
for_how_many_years_did_you_take_cox2_at_least_once_per_week_d40,demographics_and_history,,radio,"For how many years did you take Cox-2 at least once per week?","279, None | 115, Less than 5 years | 116, Less than 10 years | 117, 10-15 years | 118, 16-20 years | 278, More than 20 years",,,,,,,,RH,,,,"For how many years was Cox-2 Inhibitors taken at least once per week?"
women_only_d41,demographics_and_history,,descriptive,"<div style=""font-size: 12pt""><u>Women Only</u></div>",,,,,,,,,,,,,
have_you_ever_used_hrt_d42,demographics_and_history,,radio,"Have you ever used HRT?","61, Yes | 62, No | 63, Unknown",,,,,,,,RH,,,,"Have you ever used Hormone Replacement Therapy?"
are_you_currently_using_hrt_d43,demographics_and_history,,yesno,"Are you currently using HRT?",,,,,,,,,RH,,,,
family_history_of_cancer_d44,demographics_and_history,,descriptive,"<div style=""font-size: 12pt""><u>Family History of Cancer</u></div>",,,,,,,,,,,,,
relative_d45,demographics_and_history,,radio,Relative,"108, First Degree Relative | 105, Maternal | 106, Paternal | 107, Unknown | 300, Not A Blood relative",,,,,,,y,RH,,,,
relation_type_d46,demographics_and_history,,radio,"Relation Type","96, Mother | 97, Father | 99, Sister | 100, Brother | 101, Half Brother | 102, Half Sister | 297, Son | 298, Daughter | 103, Grandfather | 104, Grandmother",,,,,,,y,RH,,,,
type_of_cancers_or_location_d47,demographics_and_history,,radio,"Type of cancer(s) or location","414, Anus | 450, Appendix | 878, Blood Cancer (Leukemia) | 415, Bones | 417, Brain & CNS | 416, Breast | 419, Cervix Uteri | 418, Colon | 420, Corpus Uteri | 421, Esophagus | 445, Gallbladder | 422, Kidney, Renal Pelvis, Ureter | 423, Larynx | 448, Liver | 424, Lung | 425, Lymphoma | 427, Oral Cavity | 1211, Orbital | 426, Ovary | 428, Pancreatic | 429, Parotid & Other Glands | 430, Pharynx | 431, Prostate | 432, Rectosigmoid | 433, Rectum | 2118, Skin cancer Melanoma | 2119, Skin cancer Squamous cell | 434, Skin cancer basal cell | 1231, Small Bowel | 435, Spleen | 436, Stomach | 437, Testis | 438, Thyroid | 1213, Unknown | 439, Urinary Bladder",,,,,,,,RH,,,,
current_age_if_living_d48,demographics_and_history,,text,"Current Age, if living",,,,,,,,,,,,,
age_when_cancers_was_first_found_d49,demographics_and_history,,text,"Age when cancer(s) was first found",,,,,,,,,,,,,"Age when cancer was first found."
